	Dim1	Dim2	new_membership	class
1001000177.D7	-48.332794	10.420878	7	7
1001000177.F2	-38.213287	-42.323753	7	7
1001000177.G8	-37.53224	-38.64081	7	7
1001000177.B12	-33.024364	33.537285	7	7
1001000177.A12	-51.395382	-6.54856	7	7
1001000177.E7	-30.783924	-51.198624	Microglia	3
1001000177.H1	-52.81779	-2.5730634	7	7
1001000177.F3	-66.40119	-9.786131	7	7
1001000177.C3	-54.59979	-4.816645	7	7
1001000177.H5	24.596231	29.083632	8	9
1001000177.D10	-33.091743	-44.789654	7	7
1001000177.C6	-38.261868	-40.369007	7	7
1001000177.F5	-68.16483	20.685339	7	7
1001000177.B4	-7.4904733	11.156451	7	7
1001000177.C12	-39.312847	11.84716	7	7
1001000177.E1	-51.835476	23.952766	7	7
1001000177.A9	-55.584885	29.513681	7	7
1001000177.F11	-38.673634	26.647404	7	7
1001000177.H3	-33.612347	-48.699238	Microglia	3
1001000177.G2	-65.218185	-9.605726	7	7
1001000177.A3	-70.031555	-3.6370845	7	7
1001000177.H7	-38.299335	-41.193058	7	7
1001000177.D1	-69.59712	-2.3185697	7	7
1001000177.D4	-39.458717	-41.183815	7	7
1001000177.C8	-68.65599	-1.3447871	7	7
1001000177.H11	-34.53555	-43.84179	7	7
1001000177.E3	-10.830094	4.535085	7	7
1001000177.F7	-53.08397	7.78167	7	7
1001000177.G4	-72.03387	-4.281918	7	7
1001000177.H2	-68.53585	-2.9689636	7	7
1001000177.B11	-69.6052	-4.0994353	7	7
1001000177.H10	-36.523026	-46.71274	7	7
1001000177.G11	-21.844751	-14.921156	7	7
1001000177.G5	-65.65527	-9.394816	7	7
1001000177.E12	-64.00946	-8.869396	7	7
1001000177.A7	-70.04531	-5.5277042	7	7
1001000177.E6	-32.89903	-48.123253	Microglia	3
1001000177.F12	-45.202194	17.447659	7	7
1001000177.B8	-64.98032	-1.4655827	7	7
1001000177.C2	-53.121555	30.390863	7	7
1001000177.D3	-32.041195	-19.648645	7	7
1001000177.B2	-64.698494	-1.537528	7	7
1001000177.F4	-38.908184	-42.552063	7	7
1001000177.G7	-55.689907	15.563893	7	7
1001000177.G10	-21.519567	-42.962334	Microglia	3
1001000177.A11	-49.15599	-2.9647179	7	7
1001000177.E8	-36.67703	-43.384167	7	7
1001000177.H4	-15.692181	1.9776485	7	7
1001000177.D12	-56.13159	2.6759236	7	7
1001000177.D8	-56.562317	6.346593	7	7
1001000177.D5	-71.06785	-4.8100076	7	7
1001000177.F1	-63.4323	-1.7176846	7	7
1001000177.E10	-54.302723	-5.116675	7	7
1001000177.C4	29.087362	23.888384	8	9
1001000177.F10	-34.320522	-46.24233	Microglia	3
1001000177.F6	-52.514946	8.6684265	7	7
1001000177.A4	-35.163498	-52.49191	Microglia	3
1001000177.C9	-42.177193	-28.466003	7	7
1001000177.H6	-31.35011	-55.45696	Microglia	3
1001000177.C11	-39.457897	-42.557774	7	7
1001000177.E2	-35.59728	-45.399403	7	7
1001000177.B9	-71.43175	-3.6421843	7	7
1001000177.C5	-53.03803	3.6247122	7	7
1001000177.E4	-25.171684	-24.886171	7	7
1001000177.G3	-33.414043	-39.13012	7	7
1001000177.A5	-47.437176	16.143812	7	7
1001000177.G1	-40.87424	-38.69079	7	7
1001000177.D2	-29.360235	-48.198208	Microglia	3
1001000177.D9	-22.620844	-34.765453	Microglia	3
1001000177.H8	-34.232082	-42.34952	7	7
1001000177.F8	-60.630714	-10.055646	7	7
1001000177.C7	-54.914318	17.708735	7	7
1001000177.D11	-19.106634	6.854804	7	7
1001000177.B3	-17.649181	-6.39031	7	7
1001000178.G8	8.770267	-42.82465	Microglia	3
1001000178.A9	0.76465505	-31.720104	Microglia	3
1001000178.B7	2.0309267	-40.82148	Microglia	3
1001000178.E5	4.677288	-39.750206	Microglia	3
1001000178.D12	10.6146555	-43.78451	Microglia	3
1001000178.F4	-26.593256	-44.824745	Microglia	3
1001000178.F10	-3.5173366	-54.36542	Microglia	3
1001000178.B5	-1.5720892	-52.481853	Microglia	3
1001000178.D10	1.8943319	-35.300648	Microglia	3
1001000178.A12	-4.314226	-51.99242	Microglia	3
1001000178.F11	13.77914	-43.418335	Microglia	3
1001000178.E3	0.27688837	-42.865555	Microglia	3
1001000178.C4	8.555645	-55.442905	Microglia	3
1001000178.F2	-1.6658812	-53.206116	Microglia	3
1001000178.F9	3.1432583	-42.024902	Microglia	3
1001000178.C9	2.4147246	-55.652706	Microglia	3
1001000178.D8	11.081201	-50.180454	Microglia	3
1001000178.C2	0.6181288	-42.501232	Microglia	3
1001000178.G1	0.3440112	-50.759254	Microglia	3
1001000178.B3	-16.564476	-1.5770509	7	7
